steamid,game
76561198040421250,Half-Life
76561198040421250,Counter-Strike: Condition Zero
76561198040421250,Counter-Strike: Condition Zero Deleted Scenes
76561198040421250,Half-Life: Blue Shift
76561198040421250,Half-Life 2
76561198040421250,Counter-Strike: Source
76561198040421250,Half-Life: Source
76561198040421250,Day of Defeat: Source
76561198040421250,Half-Life 2: Deathmatch
76561197992133229,10
76561197992133229,Team Fortress Classic
76561197992133229,Day of Defeat
76561197992133229,Deathmatch Classic
76561197992133229,Half-Life: Opposing Force
76561197992133229,Ricochet
76561197992133229,Half-Life
76561197992133229,Counter-Strike: Condition Zero
76561197992133229,Counter-Strike: Condition Zero Deleted Scenes
76561197992133229,Half-Life: Blue Shift
76561197992133229,Half-Life 2
76561197992133229,Counter-Strike: Source
76561197992133229,Half-Life: Source
76561197992133229,Day of Defeat: Source
76561197992133229,Half-Life 2: Deathmatch
76561198028121353,10
76561198028121353,Team Fortress Classic
76561198028121353,Day of Defeat
76561198028121353,Deathmatch Classic
76561198028121353,Half-Life: Opposing Force
76561198028121353,Ricochet
76561198028121353,Half-Life
76561198028121353,Counter-Strike: Condition Zero
76561198028121353,Counter-Strike: Condition Zero Deleted Scenes
76561198028121353,Half-Life: Blue Shift
76561198028121353,Half-Life 2
